time="2024-03-15T01:58:53Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:53Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:53Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:53Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:55Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:55Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:55Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:55Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:55Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:55Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:55Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:55Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:55Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:55Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:55Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:55Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:58Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:58Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:58Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:58Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:58Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:58Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:58Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:58Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:58Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:58Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:59:00Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:59:00Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:59:00Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:59:00Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:59:00Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:59:00Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:59:00Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:59:00Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:59:00Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:59:00Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:59:00Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:59:00Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:59:03Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:59:03Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:59:03Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:59:03Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:59:03Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:59:03Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:59:03Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:59:03Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:59:03Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:59:03Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:59:05Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:59:05Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:59:05Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:59:05Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:59:05Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:59:05Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:59:05Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:59:05Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:59:05Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:59:05Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:59:05Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:59:05Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:59:08Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:59:08Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:59:08Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:59:08Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:59:08Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:59:08Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:59:08Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:59:08Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:59:08Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:59:08Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:59:10Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:59:10Z" level=info msg="Processing completed" resource=argocd/app-of-apps
